title,total_xg,total_xg_a,goals,goals_againts,ppda_mean,ppda_allowed_mean,ocasiones_gol,ocaciones_gol_against,wins,draws,loses
Alaves,18.693504,15.615727999999999,11,18,14.069304533760766,9.005074729985424,5.538461538461538,5.538461538461538,3,3,7
Almeria,16.2434707,24.269085,15,35,12.053947250642116,10.302080579974126,3.230769230769231,8,0,3,10
Athletic Club,24.343083,15.5809777,25,17,9.929661761901581,10.785125865287808,6.6923076923076925,4.846153846153846,7,3,3
Atletico Madrid,20.657633,10.243664,26,11,15.276375896830443,16.58116466866467,8.909090909090908,5.454545454545454,8,1,2
Barcelona,25.95452,14.121003,26,13,8.120502784694374,17.165589396902785,9.538461538461538,6.461538461538462,9,3,1
Cadiz,10.023761,19.982954,10,17,10.771485082637044,7.575552834105466,3.4166666666666665,6.75,2,4,6
Celta Vigo,19.738751,20.221826,14,24,17.271073289455643,10.891198508284875,6.384615384615385,5.923076923076923,1,4,8
Getafe,14.727125,16.413988,15,17,11.0445599671902,7.227730226033394,3.6923076923076925,6.230769230769231,3,7,3
Girona,26.848318,18.493869,31,16,9.801378720542509,12.94276662843365,7.769230769230769,5.615384615384615,11,1,1
Granada,15.1315368,23.555911,18,30,12.501369289032825,8.453228924160621,4.461538461538462,6.846153846153846,1,4,8
Las Palmas,9.370075,15.5582958,11,12,9.484844798766204,12.627675439738095,5.153846153846154,5.076923076923077,5,3,5
Mallorca,12.450425000000001,17.807688,12,18,11.441871392118669,9.25212198880152,3.6666666666666665,7.583333333333333,1,6,5
Osasuna,13.261996,18.769701,15,21,11.887027889874709,12.196258590907421,5.538461538461538,5.384615384615385,4,2,7
Rayo Vallecano,13.877174,18.017955,15,17,10.001871548723313,7.471635936001768,5.3076923076923075,8.846153846153847,4,6,3
Real Betis,18.990415,14.542869,17,16,11.976099563953815,10.065508586885285,8.615384615384615,5.384615384615385,5,6,2
Real Madrid,27.210943,16.854549,28,9,12.965288558254898,16.958290137067824,10.615384615384615,3.769230769230769,10,2,1
Real Sociedad,17.566209,17.852905,23,16,7.93921529206597,13.057066841950018,4.769230769230769,4.615384615384615,6,4,3
Sevilla,16.54419,19.917778,18,17,9.871051068003126,13.738183013080516,5.666666666666667,4.583333333333333,2,6,4
Valencia,15.345429,14.548281000000001,16,18,11.347847215298826,10.356053621096201,3.4615384615384617,4.384615384615385,5,3,5
Villarreal,14.03221,18.641741,17,21,9.027117194858423,10.312378016517549,7.25,8.416666666666666,3,3,6
