"player_name","position","minutes_played","national_team","team","foot","age","weight","height","key_passes_accurate_p90","key_passes_accurate_p90_percentil","key_passes_accurate_p90_norm","defensive_challenges_won_percent","defensive_challenges_won_percent_p90","defensive_challenges_won_percent_p90_percentil","defensive_challenges_won_percent_p90_norm","accurate_crosses_percent","accurate_crosses_percent_p90","accurate_crosses_percent_p90_percentil","accurate_crosses_percent_p90_norm","ball_interceptions_p90","ball_interceptions_p90_percentil","ball_interceptions_p90_norm","expected_assists_p90","expected_assists_p90_percentil","expected_assists_p90_norm","score"
"Mateo Kovacic","DM",1678,"Croatia","Chelsea","Right",28,78,176,0.8,1,1,50.7936507936508,0.51,0.44,0.51,20,0.2,0.26,0.2,2.36,0,0,0.21,0.91,0.6,0.76
"Ruben Loftus-Cheek","DM",1533,"-","Chelsea","Right",26,88,190,0.47,0.88,0.5875,63.4782608695652,0.63,1,0.63,22,0.22,0.38,0.22,3.46,0.15,0.224489795918367,0.35,1,1,0.73
"Paul Pogba","DM",1450,"France","Man United","Both",29,84,191,0.68,0.97,0.85,46.1538461538462,0.46,0.18,0.46,17,0.17,0.21,0.17,2.54,0.03,0.0367346938775511,0.31,0.97,0.885714285714286,0.73
"Bruno","DM",1133,"Brazil","Newcastle Utd.","Right",24,74,182,0.48,0.94,0.6,54.6218487394958,0.55,0.71,0.55,67,0.67,0.97,0.67,4.45,0.38,0.426530612244898,0,0,0,0.72
"A. Lokonga","DM",1235,"Belgium","Arsenal","Right",22,67,183,0.22,0.5,0.275,52.5252525252525,0.53,0.59,0.53,100,1,1,1,4.52,0.41,0.440816326530612,0,0,0,0.69
"C. Nørgaard","DM",3298,"Denmark","Brentford","Right",28,76,187,0.35,0.71,0.4375,48.8888888888889,0.49,0.32,0.49,46,0.46,0.85,0.46,6.11,0.88,0.76530612244898,0.11,0.76,0.314285714285714,0.69
"James Ward-Prowse","DM",3476,"England","Southampton","Right",27,66,177,0.41,0.76,0.5125,38.6100386100386,0.39,0,0.39,37,0.37,0.76,0.37,5.72,0.82,0.685714285714286,0.21,0.91,0.6,0.69
"P. Højbjerg","DM",3427,"Denmark","Tottenham","Right",26,84,187,0.47,0.88,0.5875,47.557003257329,0.48,0.29,0.48,33,0.33,0.65,0.33,4.99,0.65,0.536734693877551,0.03,0.21,0.0857142857142857,0.67
"Rodrigo Bentancur","DM",1460,"Uruguay","Tottenham","Right",24,72,187,0.37,0.74,0.4625,53.1034482758621,0.53,0.59,0.53,33,0.33,0.65,0.33,4.25,0.32,0.385714285714286,0.12,0.82,0.342857142857143,0.66
"Fred","DM",2159,"Brazil","Man United","Left",29,64,169,0.42,0.85,0.525,40.2714932126697,0.4,0.03,0.4,33,0.33,0.65,0.33,5.88,0.85,0.718367346938775,0.04,0.38,0.114285714285714,0.66
"Youri Tielemans","DM",2826,"Belgium","Leicester","Right",25,72,176,0.41,0.76,0.5125,46.8992248062016,0.47,0.21,0.47,37,0.37,0.76,0.37,3.79,0.21,0.291836734693878,0.13,0.88,0.371428571428571,0.66
"Oliver Skipp","DM",1447,"England U21","Tottenham","Right",21,70,175,0.25,0.56,0.3125,59.6330275229358,0.6,0.88,0.6,50,0.5,0.88,0.5,3.61,0.18,0.255102040816327,0.12,0.82,0.342857142857143,0.65
"M. Normann","DM",1743,"Norway","Norwich","Right",25,75,179,0.41,0.76,0.5125,50.6172839506173,0.51,0.44,0.51,14,0.14,0.12,0.14,5.06,0.71,0.551020408163265,0.05,0.5,0.142857142857143,0.64
"Kalvin Phillips","DM",1736,"England","Leeds United","Right",26,72,178,0.16,0.26,0.2,50.2325581395349,0.5,0.35,0.5,60,0.6,0.94,0.6,5.65,0.79,0.671428571428571,0.05,0.5,0.142857142857143,0.63
"Granit Xhaka","DM",2507,"Switzerland","Arsenal","Left",29,82,186,0.25,0.56,0.3125,53.3333333333333,0.53,0.59,0.53,40,0.4,0.82,0.4,4.09,0.26,0.353061224489796,0.11,0.76,0.314285714285714,0.62
"Will Hughes","DM",1127,"-","Crystal Palace","Left",27,74,185,0.16,0.26,0.2,56.198347107438,0.56,0.79,0.56,50,0.5,0.88,0.5,4.63,0.56,0.463265306122449,0.08,0.71,0.228571428571429,0.62
"Rodri","DM",3097,"Spain","Man City","Right",25,82,191,0.17,0.38,0.2125,60.1351351351351,0.6,0.88,0.6,30,0.3,0.62,0.3,4.94,0.62,0.526530612244898,0.03,0.21,0.0857142857142857,0.59
"Declan Rice","DM",3446,"England","West Ham","Right",23,76,188,0.13,0.15,0.1625,60.3846153846154,0.6,0.88,0.6,29,0.29,0.59,0.29,6.22,0.94,0.787755102040816,0.03,0.21,0.0857142857142857,0.59
"Ruben Neves","DM",2911,"Portugal","Wolverhampton","Right",25,80,180,0.34,0.65,0.425,43.1535269709544,0.43,0.12,0.43,21,0.21,0.32,0.21,4.58,0.5,0.453061224489796,0.03,0.21,0.0857142857142857,0.59
"Vitaly Janelt","DM",2464,"-","Brentford","Left",24,79,184,0.26,0.62,0.325,50.2732240437158,0.5,0.35,0.5,25,0.25,0.44,0.25,4.57,0.47,0.451020408163265,0.07,0.68,0.2,0.59
"Jakub Piotr Moder","DM",1843,"Poland","Brighton","Right",23,78,188,0.34,0.65,0.425,47.1428571428571,0.47,0.21,0.47,22,0.22,0.38,0.22,3.27,0.06,0.185714285714286,0.05,0.5,0.142857142857143,0.59
"Imran Louza","DM",1507,"Morocco","Watford","Left",23,65,178,0.12,0.09,0.15,44.8051948051948,0.45,0.15,0.45,36,0.36,0.74,0.36,7.05,0.97,0.957142857142857,0,0,0,0.58
"Scott McTominay","DM",2559,"Scotland","Man United","Right",25,88,191,0.18,0.41,0.225,52.8428093645485,0.53,0.59,0.53,8,0.08,0.09,0.08,6.12,0.91,0.76734693877551,0.04,0.38,0.114285714285714,0.56
"Yves Bissouma","DM",2275,"Mali","Brighton","Right",25,80,182,0.2,0.47,0.25,60,0.6,0.88,0.6,0,0,0,0,5.18,0.74,0.575510204081633,0.04,0.38,0.114285714285714,0.55
"Tomas Soucek","DM",3318,"Czech Republic","West Ham","Right",27,84,192,0.08,0.06,0.1,57.7160493827161,0.58,0.85,0.58,25,0.25,0.44,0.25,5.48,0.76,0.636734693877551,0.03,0.21,0.0857142857142857,0.55
"Josh Brownhill","DM",3172,"-","Burnley","Right",26,69,179,0.14,0.18,0.175,51.7241379310345,0.52,0.53,0.52,21,0.21,0.32,0.21,5.05,0.68,0.548979591836735,0.06,0.62,0.171428571428571,0.55
"Fabinho","DM",2467,"Brazil","Liverpool","Right",28,78,188,0.18,0.41,0.225,56.6666666666667,0.57,0.82,0.57,14,0.14,0.12,0.14,4.67,0.59,0.471428571428571,0,0,0,0.54
"Boubakary Soumare","DM",1192,"-","Leicester","Right",23,70,188,0.15,0.21,0.1875,55.1724137931034,0.55,0.71,0.55,25,0.25,0.44,0.25,4,0.24,0.33469387755102,0,0,0,0.54
"Ibrahima Diallo","DM",1126,"-","Southampton","Right",23,68,179,0.16,0.26,0.2,50.9615384615385,0.51,0.44,0.51,25,0.25,0.44,0.25,3.36,0.09,0.204081632653061,0.08,0.71,0.228571428571429,0.54
"Douglas Luiz","DM",2943,"Brazil","Aston Villa","Right",24,66,177,0.15,0.21,0.1875,41.1971830985916,0.41,0.06,0.41,27,0.27,0.56,0.27,4.53,0.44,0.442857142857143,0.06,0.62,0.171428571428571,0.53
"Abdoulaye Doucoure","DM",2751,"Mali","Everton","Right",29,75,183,0.16,0.26,0.2,52.3809523809524,0.52,0.53,0.52,15,0.15,0.18,0.15,4.42,0.35,0.420408163265306,0.03,0.21,0.0857142857142857,0.53
"Billy Gilmour","DM",1972,"Scotland","Norwich","Right",20,60,166,0.23,0.53,0.2875,41.9161676646707,0.42,0.09,0.42,17,0.17,0.21,0.17,3.38,0.12,0.208163265306122,0.05,0.5,0.142857142857143,0.52
"Leander Dendoncker","DM",2170,"Belgium","Wolverhampton","Right",27,83,188,0.12,0.09,0.15,47.0967741935484,0.47,0.21,0.47,20,0.2,0.26,0.2,4.11,0.29,0.357142857142857,0.04,0.38,0.114285714285714,0.51
"Wilfred Ndidi","DM",1735,"Nigeria","Leicester","Right",25,74,183,0,0,0,55.3571428571429,0.55,0.71,0.55,0,0,0,0,7.26,1,1,0,0,0,0.49
"Thomas Partey","DM",2182,"Ghana","Arsenal","Right",28,77,185,0,0,0,49.7354497354497,0.5,0.35,0.5,0,0,0,0,4.58,0.5,0.453061224489796,0,0,0,0.41
