"player_name","position","minutes_played","national_team","team","foot","age","weight","height","xg_diff_p90","shots_on_target_percent_p90","air_challenges_won_percent_p90","expected_assists_p90","defensive_challenges_won_percent_p90","ball_interceptions_p90","xg_diff_p90_percentil","shots_on_target_percent_p90_percentil","air_challenges_won_percent_p90_percentil","expected_assists_p90_percentil","defensive_challenges_won_percent_p90_percentil","ball_interceptions_p90_percentil","score"
"Patson Daka","F",1243,"Zambia","Leicester","Right",23,71,183,0.09,0.62,0.22,0.07,0.22,1.59,0.95,1,0.1,0.29,0.05,0.33,0.351
"Romelu Lukaku","F",1729,"Belgium","Chelsea","Left",29,93,191,0,0.4,0.46,0.1,0.24,1.2,0.76,0.33,0.95,0.57,0.14,0.05,0.329
"Kai Lukas Havertz","F",1952,"Germany","Chelsea","Left",22,83,190,0,0.5,0.3,0.09,0.36,2.12,0.76,0.86,0.38,0.48,0.57,0.57,0.318
"Jean-Philippe Mateta","F",1213,"-","Crystal Palace","Right",24,82,192,-0.15,0.61,0.43,0,0.23,1.63,0.1,0.95,0.81,0,0.1,0.38,0.315
"E. Dennis","F",2732,"Nigeria","Watford","Right",24,69,175,0.1,0.47,0.29,0.07,0.4,2.24,1,0.62,0.29,0.29,0.76,0.71,0.313
"Ivan Toney","F",3151,"-","Brentford","Right",26,65,185,-0.06,0.42,0.5,0.09,0.39,2.2,0.38,0.52,1,0.48,0.67,0.62,0.31
"Harry Kane","F",3482,"England","Tottenham","Right",28,86,188,-0.05,0.47,0.4,0.16,0.28,1.52,0.43,0.62,0.76,0.9,0.24,0.24,0.306
"Ollie Watkins","F",3217,"England","Aston Villa","Right",26,70,180,-0.03,0.47,0.36,0.08,0.3,1.76,0.67,0.62,0.62,0.43,0.29,0.52,0.291
"Che Adams","F",2195,"Scotland","Southampton","Right",25,66,175,-0.04,0.56,0.34,0,0.31,1.56,0.52,0.9,0.52,0,0.38,0.29,0.288
"K. Iheanacho","F",1356,"Nigeria","Leicester","Left",26,82,185,0.06,0.4,0.19,0.2,0.3,1.73,0.9,0.33,0,0.95,0.29,0.48,0.274
"D. Calvert-Lewin","F",1392,"England","Everton","Right",25,71,189,-0.13,0.39,0.45,0.13,0.48,1.36,0.24,0.29,0.86,0.71,0.95,0.14,0.268
"J. Sargent","F",1661,"United States","Norwich","Right",22,79,185,-0.02,0.15,0.38,0.05,0.49,3.9,0.71,0,0.71,0.24,1,1,0.267
"Odsonne Edouard","F",1674,"-","Crystal Palace","Right",24,75,187,-0.05,0.49,0.35,0,0.4,2.2,0.43,0.76,0.57,0,0.76,0.62,0.265
"Gabriel Jesus","F",2009,"Brazil","Man City","Right",25,73,175,-0.18,0.42,0.36,0.27,0.37,2.24,0.05,0.52,0.62,1,0.62,0.71,0.26
"Armando Broja","F",2107,"Albania","Southampton","Right",20,0,191,-0.04,0.49,0.32,0.04,0.27,1.37,0.52,0.76,0.43,0.19,0.19,0.19,0.257
"Richarlison","F",2703,"Brazil","Everton","Right",25,83,184,0.03,0.36,0.27,0.1,0.39,2.43,0.86,0.1,0.24,0.57,0.67,0.81,0.252
"W. Weghorst","F",1526,"Netherlands","Burnley","Right",29,84,197,-0.15,0.38,0.45,0,0.33,2.89,0.1,0.24,0.86,0,0.43,0.9,0.236
"D. Ings","F",2058,"England","Aston Villa","Right",29,73,178,-0.04,0.41,0.29,0.13,0.4,2.71,0.52,0.48,0.29,0.71,0.76,0.86,0.227
"João Pedro","F",1792,"-","Watford","Right",20,70,182,-0.08,0.4,0.32,0.15,0.35,3.16,0.29,0.33,0.43,0.81,0.52,0.95,0.203
"Neal Maupay","F",2455,"-","Brighton","Right",25,69,173,-0.07,0.3,0.23,0.15,0.41,1.25,0.33,0.05,0.14,0.81,0.9,0.1,0.158
"Adam Armstrong","F",1523,"-","Southampton","Right",25,70,173,-0.14,0.37,0.25,0.12,0.33,1.65,0.19,0.19,0.19,0.67,0.43,0.43,0.135
"Timo Werner","F",1369,"Germany","Chelsea","Right",26,75,180,-0.2,0.36,0.21,0.07,0.16,0.79,0,0.1,0.05,0.29,0,0,0.051
